Customer_id,State,Population,Age,Gender,Churn,Contract,InternetService,Tenure,PaymentMethod,Region,Average_Income
L357432,NY,11268,45,Male,False,Two Year,Fiber Optic,11.0,Credit Card (automatic),NY,"$78,089"
V899967,OH,1765,40,Female,False,Two Year,Fiber Optic,4.0,Electronic Check,OH,"$57,880"
G571225,WA,680,82,Female,True,Month-to-month,Fiber Optic,5.0,Electronic Check,WA,"$75,698"
S381541,MI,136,74,Male,True,Month-to-month,DSL,21.0,Electronic Check,MI,"$56,813"
R195593,IL,1517,69,Male,True,One year,Fiber Optic,3.0,Mailed Check,IL,"$68,822"
I327596,MI,14103,52,Male,True,Month-to-month,DSL,5.0,Mailed Check,MI,"$56,813"
U790894,CT,6394,26,Female,True,Month-to-month,Fiber Optic,3.0,Credit Card (automatic),CT,"$84,972"
O739489,NJ,5059,25,Female,False,One year,DSL,7.0,Electronic Check,NJ,"$78,700"
Z666770,PA,2123,72,Male,False,Two Year,Fiber Optic,16.0,Electronic Check,PA,"$65,167"
X711438,NJ,1164,21,Female,False,Month-to-month,Fiber Optic,9.0,Mailed Check,NJ,"$78,700"
U369541,PA,23,55,Male,False,Month-to-month,DSL,3.0,Electronic Check,PA,"$65,167"
S896111,OK,895,41,Male,True,Two Year,Fiber Optic,4.0,Credit Card (automatic),OK,"$54,998"
K227200,PA,6699,32,Male,False,Two Year,Fiber Optic,19.0,Electronic Check,PA,"$65,167"
E818912,NY,35743,22,Female,True,Two Year,Fiber Optic,9.0,Credit Card (automatic),NY,"$78,089"
Y490834,MI,320,44,Female,True,Month-to-month,Fiber Optic,10.0,Electronic Check,MI,"$56,813"
B609739,IL,7870,23,Male,True,Month-to-month,Fiber Optic,22.0,Bank Transfer(automatic),IL,"$68,822"
E687638,WA,861,43,Female,True,Month-to-month,Fiber Optic,9.0,Credit Card (automatic),WA,"$75,698"
E492264,TN,15364,86,Female,False,Two Year,Fiber Optic,8.0,Bank Transfer(automatic),TN,"$58,279"
W255321,ND,2589,84,Female,False,Month-to-month,Fiber Optic,12.0,Electronic Check,ND,"$66,184"
S72442,AL,4901,62,Female,True,Month-to-month,DSL,3.0,Bank Transfer(automatic),AL,"$50,637"
O845020,NC,39649,68,Female,True,Month-to-month,Fiber Optic,7.0,Credit Card (automatic),NC,"$57,416"
D805597,LA,456,59,Female,False,Month-to-month,Fiber Optic,5.0,Electronic Check,LA,"$54,622"
R189303,IA,94,31,Female,True,One year,Fiber Optic,2.0,Credit Card (automatic),IA,"$58,905"
N142854,NE,315,51,Male,True,Month-to-month,Fiber Optic,12.0,Mailed Check,NE,"$63,321"
F522569,WV,4969,58,Female,False,One year,DSL,14.0,Mailed Check,WV,"$49,169"
L384793,TX,46869,73,Male,True,Month-to-month,DSL,10.0,Electronic Check,TX,"$61,985"
C101444,CA,58431,33,Female,False,Two Year,Fiber Optic,7.0,Mailed Check,CA,"$77,339"
E987442,WI,26182,58,Male,True,Two Year,Fiber Optic,16.0,Credit Card (automatic),WI,"$61,210"
L54611,GA,694,49,Female,False,Two Year,Fiber Optic,7.0,Electronic Check,GA,"$57,129"
L85018,OK,3093,26,Female,False,One year,DSL,3.0,Mailed Check,OK,"$54,998"
O942919,IL,2765,25,Male,False,Month-to-month,Fiber Optic,2.0,Electronic Check,IL,"$68,822"
I167253,PA,3757,42,Female,True,Month-to-month,DSL,8.0,Mailed Check,PA,"$65,167"
R110564,AZ,4938,81,Male,False,Month-to-month,Fiber Optic,12.0,Mailed Check,AZ,"$56,667"
M278354,NC,3761,43,Female,False,Month-to-month,Fiber Optic,10.0,Electronic Check,NC,"$57,416"
W604879,CA,1851,63,Male,False,Two Year,DSL,8.0,Bank Transfer(automatic),CA,"$77,339"
X345797,IL,38476,70,Female,True,Month-to-month,Fiber Optic,4.0,Bank Transfer(automatic),IL,"$68,822"
N189653,MO,13547,78,Male,True,Month-to-month,Fiber Optic,11.0,Bank Transfer(automatic),MO,"$56,551"
M562102,TX,7801,48,Male,False,Month-to-month,DSL,12.0,Electronic Check,TX,"$61,985"
X67911,WY,17823,63,Female,True,Month-to-month,DSL,2.0,Credit Card (automatic),WY,"$71,342"
O834546,OR,20269,60,Female,True,One year,Fiber Optic,24.0,Electronic Check,OR,"$62,767"
I493092,OH,30225,87,Male,True,One year,DSL,4.0,Bank Transfer(automatic),OH,"$57,880"
H787644,OH,5760,54,Female,False,Two Year,Fiber Optic,8.0,Bank Transfer(automatic),OH,"$57,880"
N582710,MT,61,35,Male,True,Month-to-month,Fiber Optic,9.0,Electronic Check,MT,"$57,719"
T689606,CA,34359,70,Male,True,Month-to-month,Fiber Optic,2.0,Bank Transfer(automatic),CA,"$77,339"
E330599,CA,24693,67,Female,True,One year,DSL,5.0,Electronic Check,CA,"$77,339"
C641592,VA,4235,46,Female,True,Two Year,Fiber Optic,1.0,Electronic Check,VA,"$68,211"
E24772,KY,2193,50,Male,False,Two Year,DSL,20.0,Bank Transfer(automatic),KY,"$52,109"
A889769,IL,273,24,Female,True,Month-to-month,Fiber Optic,25.0,Mailed Check,IL,"$68,822"
G391761,MN,14557,20,Male,False,Month-to-month,Fiber Optic,10.0,Credit Card (automatic),MN,"$68,010"
A606860,FL,17653,29,Female,True,One year,DSL,10.0,Electronic Check,FL,"$63,597"
E186097,PA,285,31,Male,False,Month-to-month,Fiber Optic,8.0,Credit Card (automatic),PA,"$65,167"
I627613,MI,320,72,Female,False,Two Year,Fiber Optic,19.0,Mailed Check,MI,"$56,813"
Z188641,KY,2863,71,Male,False,Month-to-month,DSL,14.0,Credit Card (automatic),KY,"$52,109"
A740543,KS,1206,32,Female,False,One year,Fiber Optic,2.0,Bank Transfer(automatic),KS,"$60,152"
W681476,VA,35279,33,Male,False,One year,Fiber Optic,2.0,Credit Card (automatic),VA,"$68,211"
G842176,PA,1049,67,Male,False,Month-to-month,Fiber Optic,5.0,Bank Transfer(automatic),PA,"$65,167"
Z852663,IL,32203,66,Female,True,Month-to-month,Fiber Optic,4.0,Electronic Check,IL,"$68,822"
C73741,CT,25576,21,Female,True,Month-to-month,DSL,4.0,Electronic Check,CT,"$84,972"
W258972,CA,319,61,Female,False,One year,Fiber Optic,4.0,Bank Transfer(automatic),CA,"$77,339"
G491883,NC,55519,75,Female,True,Month-to-month,Fiber Optic,2.0,Mailed Check,NC,"$57,416"
C302549,MA,15210,63,Female,True,Month-to-month,DSL,14.0,Mailed Check,MA,"$84,945"
K581313,MI,3499,68,Female,False,Two Year,Fiber Optic,3.0,Electronic Check,MI,"$56,813"
T46150,LA,14479,32,Male,True,Two Year,DSL,20.0,Electronic Check,LA,"$54,622"
B260505,FL,4654,76,Male,False,Two Year,DSL,18.0,Mailed Check,FL,"$63,597"
W877056,TX,26320,29,Female,True,Month-to-month,Fiber Optic,5.0,Credit Card (automatic),TX,"$61,985"
M478246,IL,35,83,Female,False,Month-to-month,Fiber Optic,7.0,Electronic Check,IL,"$68,822"
N417817,IL,521,23,Male,True,Month-to-month,Fiber Optic,13.0,Mailed Check,IL,"$68,822"
R180138,NC,17600,80,Male,False,Month-to-month,Fiber Optic,20.0,Mailed Check,NC,"$57,416"
N931384,ND,3324,20,Male,False,One year,Fiber Optic,7.0,Electronic Check,ND,"$66,184"
O967373,AL,55122,69,Male,True,Month-to-month,Fiber Optic,14.0,Credit Card (automatic),AL,"$50,637"
G695985,KY,4038,32,Male,False,One year,Fiber Optic,11.0,Bank Transfer(automatic),KY,"$52,109"
P33478,NY,31927,53,Female,True,Month-to-month,Fiber Optic,3.0,Mailed Check,NY,"$78,089"
K100436,WV,19904,25,Male,False,Two Year,Fiber Optic,17.0,Electronic Check,WV,"$49,169"
L475907,MO,13000,69,Male,True,Month-to-month,Fiber Optic,23.0,Mailed Check,MO,"$56,551"
A78095,NE,1444,71,Male,True,Month-to-month,Fiber Optic,4.0,Electronic Check,NE,"$63,321"
X742990,NY,2158,53,Female,True,Month-to-month,DSL,11.0,Credit Card (automatic),NY,"$78,089"
P347346,IN,1800,56,Nonbinary,True,Month-to-month,Fiber Optic,13.0,Bank Transfer(automatic),IN,"$57,930"
O235183,TX,30,42,Male,True,Month-to-month,DSL,15.0,Bank Transfer(automatic),TX,"$61,985"
R776311,AL,3682,33,Male,True,Month-to-month,Fiber Optic,9.0,Electronic Check,AL,"$50,637"
C25146,VA,41733,47,Male,False,Month-to-month,Fiber Optic,5.0,Bank Transfer(automatic),VA,"$68,211"
E722502,MN,630,48,Female,True,Two Year,Fiber Optic,7.0,Credit Card (automatic),MN,"$68,010"
D515341,WI,15383,63,Female,True,Month-to-month,Fiber Optic,3.0,Mailed Check,WI,"$61,210"
U972291,MA,257,40,Male,False,Month-to-month,Fiber Optic,18.0,Bank Transfer(automatic),MA,"$84,945"
N374641,NY,1012,67,Male,True,Month-to-month,Fiber Optic,13.0,Mailed Check,NY,"$78,089"
R736057,VA,20327,56,Female,False,Month-to-month,Fiber Optic,23.0,Credit Card (automatic),VA,"$68,211"
K401117,KY,69,24,Female,False,One year,DSL,6.0,Mailed Check,KY,"$52,109"
O17401,NE,1130,79,Female,False,Two Year,Fiber Optic,13.0,Electronic Check,NE,"$63,321"
E779833,NY,4210,61,Male,True,Month-to-month,DSL,7.0,Electronic Check,NY,"$78,089"
Q527077,SC,155,38,Male,True,Two Year,Fiber Optic,9.0,Electronic Check,SC,"$53,320"
Q765651,CA,37711,28,Female,False,Two Year,DSL,22.0,Credit Card (automatic),CA,"$77,339"
W400552,IA,1800,44,Male,True,One year,Fiber Optic,5.0,Credit Card (automatic),IA,"$58,905"
S979985,PA,8028,65,Male,False,Month-to-month,Fiber Optic,10.0,Mailed Check,PA,"$65,167"
E351590,FL,31859,35,Female,False,Month-to-month,Fiber Optic,8.0,Bank Transfer(automatic),FL,"$63,597"
J227824,OH,16101,31,Female,False,Two Year,Fiber Optic,8.0,Credit Card (automatic),OH,"$57,880"
S136858,FL,20449,34,Male,False,Two Year,DSL,7.0,Bank Transfer(automatic),FL,"$63,597"
N883325,PA,161,68,Male,True,Month-to-month,Fiber Optic,5.0,Electronic Check,PA,"$65,167"
U700981,CT,29210,62,Male,False,Two Year,DSL,10.0,Bank Transfer(automatic),CT,"$84,972"
X267853,IL,821,52,Male,False,Two Year,DSL,4.0,Electronic Check,IL,"$68,822"
S985225,IL,5846,32,Male,True,Month-to-month,Fiber Optic,5.0,Mailed Check,IL,"$68,822"
X645702,OH,4476,47,Female,True,Month-to-month,DSL,6.0,Mailed Check,OH,"$57,880"
I703479,AL,5529,66,Female,False,Month-to-month,Fiber Optic,3.0,Mailed Check,AL,"$50,637"
S370452,NH,25328,70,Female,True,Month-to-month,DSL,9.0,Bank Transfer(automatic),NH,"$74,663"
D333249,NY,3736,41,Male,True,Month-to-month,Fiber Optic,10.0,Mailed Check,NY,"$78,089"
O698848,MN,610,59,Male,False,Month-to-month,Fiber Optic,9.0,Bank Transfer(automatic),MN,"$68,010"
M248356,DE,34,46,Male,False,Two Year,Fiber Optic,8.0,Electronic Check,DE,"$61,387"
E759213,NC,3199,70,Male,False,One year,Fiber Optic,6.0,Bank Transfer(automatic),NC,"$57,416"
G106476,TX,1135,89,Male,False,One year,DSL,7.0,Bank Transfer(automatic),TX,"$61,985"
D873414,OK,1750,75,Female,True,One year,Fiber Optic,15.0,Mailed Check,OK,"$54,998"
X906302,KY,1076,26,Female,True,Month-to-month,DSL,12.0,Electronic Check,KY,"$52,109"
Z245249,IL,1692,25,Female,False,Two Year,Fiber Optic,4.0,Electronic Check,IL,"$68,822"
T30358,TX,43123,84,Female,True,Month-to-month,Fiber Optic,3.0,Bank Transfer(automatic),TX,"$61,985"
K974027,NJ,2396,69,Male,False,Month-to-month,Fiber Optic,3.0,Bank Transfer(automatic),NJ,"$78,700"
R464272,TX,12914,31,Male,False,One year,DSL,5.0,Credit Card (automatic),TX,"$61,985"
Q541158,MN,15171,76,Male,True,Month-to-month,Fiber Optic,3.0,Electronic Check,MN,"$68,010"
O707075,NJ,5157,75,Male,True,Month-to-month,Fiber Optic,3.0,Bank Transfer(automatic),NJ,"$78,700"
L229402,MN,828,74,Nonbinary,True,Two Year,Fiber Optic,3.0,Mailed Check,MN,"$68,010"
Y259927,NY,98,49,Male,False,Two Year,DSL,16.0,Electronic Check,NY,"$78,089"
G820541,PA,15671,47,Male,True,Month-to-month,Fiber Optic,12.0,Bank Transfer(automatic),PA,"$65,167"
F672614,NY,2229,20,Female,True,Month-to-month,Fiber Optic,7.0,Credit Card (automatic),NY,"$78,089"
L686627,OR,4982,26,Female,True,One year,DSL,6.0,Credit Card (automatic),OR,"$62,767"
T660448,CA,18575,72,Female,False,One year,Fiber Optic,15.0,Credit Card (automatic),CA,"$77,339"
G864898,CT,15715,41,Male,False,Month-to-month,Fiber Optic,6.0,Mailed Check,CT,"$84,972"
V847401,LA,6252,26,Female,True,Month-to-month,DSL,3.0,Mailed Check,LA,"$54,622"
X852253,MS,3834,55,Male,False,One year,Fiber Optic,19.0,Electronic Check,MS,"$46,248"
M482085,CA,19556,46,Female,False,Two Year,Fiber Optic,14.0,Mailed Check,CA,"$77,339"
L535753,IL,47732,87,Female,True,One year,Fiber Optic,8.0,Bank Transfer(automatic),IL,"$68,822"
K265986,TX,86926,39,Male,False,Two Year,Fiber Optic,6.0,Electronic Check,TX,"$61,985"
C695447,KY,69,81,Male,True,Two Year,Fiber Optic,20.0,Electronic Check,KY,"$52,109"
T484755,NY,15033,83,Male,False,One year,Fiber Optic,15.0,Credit Card (automatic),NY,"$78,089"
X999392,IL,2673,50,Female,True,Month-to-month,Fiber Optic,3.0,Credit Card (automatic),IL,"$68,822"
N995093,MN,1879,87,Female,True,Month-to-month,Fiber Optic,12.0,Bank Transfer(automatic),MN,"$68,010"
D478815,WY,358,76,Female,False,Two Year,DSL,6.0,Mailed Check,WY,"$71,342"
I338069,OH,32653,25,Female,True,Two Year,Fiber Optic,11.0,Mailed Check,OH,"$57,880"
T278739,ID,10398,34,Male,True,Two Year,Fiber Optic,16.0,Mailed Check,ID,"$54,537"
R857699,ND,2081,46,Female,False,Two Year,Fiber Optic,13.0,Electronic Check,ND,"$66,184"
Q386914,AL,3410,73,Female,False,Month-to-month,Fiber Optic,8.0,Mailed Check,AL,"$50,637"
T132275,VA,377,57,Female,True,Month-to-month,Fiber Optic,8.0,Electronic Check,VA,"$68,211"
T392167,SC,1917,58,Male,False,Two Year,DSL,12.0,Electronic Check,SC,"$53,320"
J315269,NY,2482,70,Male,True,One year,Fiber Optic,10.0,Bank Transfer(automatic),NY,"$78,089"
B124449,OK,902,53,Male,True,Month-to-month,DSL,16.0,Mailed Check,OK,"$54,998"
P954849,NY,43714,31,Male,True,Month-to-month,Fiber Optic,14.0,Credit Card (automatic),NY,"$78,089"
K20948,IA,3066,38,Female,False,One year,Fiber Optic,19.0,Electronic Check,IA,"$58,905"
M893176,LA,13365,26,Female,True,Two Year,Fiber Optic,10.0,Electronic Check,LA,"$54,622"
P765785,TX,207,44,Male,False,One year,Fiber Optic,7.0,Electronic Check,TX,"$61,985"
X780945,CA,689,66,Female,True,Month-to-month,Fiber Optic,13.0,Electronic Check,CA,"$77,339"
H776847,AL,99,58,Male,False,Two Year,DSL,9.0,Mailed Check,AL,"$50,637"
A471876,ND,509,51,Female,True,One year,Fiber Optic,4.0,Bank Transfer(automatic),ND,"$66,184"
B424659,MN,933,34,Female,False,One year,Fiber Optic,3.0,Mailed Check,MN,"$68,010"
F111037,MA,4991,87,Nonbinary,False,Two Year,Fiber Optic,6.0,Credit Card (automatic),MA,"$84,945"
S690107,NC,1579,67,Female,True,Month-to-month,Fiber Optic,16.0,Mailed Check,NC,"$57,416"
Q991854,IN,19669,59,Nonbinary,True,Month-to-month,Fiber Optic,23.0,Credit Card (automatic),IN,"$57,930"
U560834,KY,530,23,Male,False,One year,DSL,17.0,Mailed Check,KY,"$52,109"
P452772,NM,1469,42,Male,True,Month-to-month,Fiber Optic,13.0,Credit Card (automatic),NM,"$51,500"
B949126,NY,324,24,Female,True,Two Year,DSL,5.0,Bank Transfer(automatic),NY,"$78,089"
F697244,MI,10482,81,Female,False,Two Year,DSL,4.0,Mailed Check,MI,"$56,813"
F501848,TX,3151,78,Male,False,Month-to-month,DSL,8.0,Mailed Check,TX,"$61,985"
Q971369,PA,1919,51,Female,True,Month-to-month,Fiber Optic,2.0,Credit Card (automatic),PA,"$65,167"
W186069,NY,241,70,Female,False,One year,Fiber Optic,6.0,Bank Transfer(automatic),NY,"$78,089"
Y292243,OH,673,87,Female,False,Two Year,DSL,7.0,Mailed Check,OH,"$57,880"
F333860,GA,2649,46,Female,False,One year,DSL,1.0,Bank Transfer(automatic),GA,"$57,129"
Z534243,KS,1655,56,Female,True,Month-to-month,Fiber Optic,12.0,Electronic Check,KS,"$60,152"
O249806,KY,1598,44,Male,True,Two Year,DSL,3.0,Electronic Check,KY,"$52,109"
V143753,TX,6658,33,Female,False,Month-to-month,Fiber Optic,10.0,Electronic Check,TX,"$61,985"
A715491,WI,823,19,Female,True,Month-to-month,Fiber Optic,4.0,Bank Transfer(automatic),WI,"$61,210"
D986940,WV,13287,31,Male,True,Two Year,Fiber Optic,3.0,Credit Card (automatic),WV,"$49,169"
Z147347,MN,2394,34,Female,False,One year,Fiber Optic,16.0,Bank Transfer(automatic),MN,"$68,010"
W830673,OH,9295,43,Male,False,Two Year,DSL,6.0,Mailed Check,OH,"$57,880"
Q470894,WA,315,82,Male,False,Month-to-month,Fiber Optic,4.0,Bank Transfer(automatic),WA,"$75,698"
I584048,ME,2998,36,Female,False,Month-to-month,Fiber Optic,3.0,Credit Card (automatic),ME,"$59,463"
J779175,MN,178,48,Male,True,Month-to-month,Fiber Optic,1.0,Electronic Check,MN,"$68,010"
O82369,VA,1423,52,Male,True,Month-to-month,Fiber Optic,19.0,Electronic Check,VA,"$68,211"
U528986,NM,1935,35,Nonbinary,True,Month-to-month,DSL,12.0,Bank Transfer(automatic),NM,"$51,500"
K33780,IL,90517,83,Female,False,Month-to-month,Fiber Optic,14.0,Electronic Check,IL,"$68,822"
M720169,KS,239,20,Male,False,Two Year,Fiber Optic,4.0,Electronic Check,KS,"$60,152"
Q279060,MN,1003,25,Female,True,One year,Fiber Optic,18.0,Electronic Check,MN,"$68,010"
V840276,MI,2817,88,Male,False,Month-to-month,Fiber Optic,3.0,Bank Transfer(automatic),MI,"$56,813"
B248010,MD,884,54,Female,False,One year,Fiber Optic,6.0,Electronic Check,MD,"$70,730"
C805115,OH,11245,46,Male,True,Month-to-month,Fiber Optic,5.0,Electronic Check,OH,"$57,880"
D89225,NY,19215,75,Female,False,Month-to-month,DSL,12.0,Electronic Check,NY,"$78,089"
X904034,WI,2733,66,Male,False,Month-to-month,Fiber Optic,5.0,Bank Transfer(automatic),WI,"$61,210"
B148329,VA,1204,51,Female,False,Two Year,Fiber Optic,8.0,Credit Card (automatic),VA,"$68,211"
X914490,CA,62430,81,Female,False,One year,DSL,1.0,Bank Transfer(automatic),CA,"$77,339"
U120690,WY,1028,75,Male,False,Month-to-month,Fiber Optic,20.0,Electronic Check,WY,"$71,342"
F116821,MA,28666,54,Female,True,Month-to-month,DSL,16.0,Electronic Check,MA,"$84,945"
X389713,NM,44451,73,Male,False,Month-to-month,Fiber Optic,16.0,Credit Card (automatic),NM,"$51,500"
M379067,TX,266,53,Male,False,Month-to-month,DSL,12.0,Electronic Check,TX,"$61,985"
A81135,FL,33649,33,Female,False,Month-to-month,Fiber Optic,16.0,Electronic Check,FL,"$63,597"
V280043,OH,1994,41,Female,False,Two Year,DSL,21.0,Bank Transfer(automatic),OH,"$57,880"
U169694,TX,1869,59,Female,False,One year,DSL,5.0,Bank Transfer(automatic),TX,"$61,985"
N162822,NC,27590,23,Female,True,Month-to-month,DSL,3.0,Bank Transfer(automatic),NC,"$57,416"
K618387,MI,21792,32,Female,True,One year,Fiber Optic,5.0,Electronic Check,MI,"$56,813"
D944092,IN,8770,51,Female,True,Month-to-month,Fiber Optic,10.0,Credit Card (automatic),IN,"$57,930"
F908532,FL,3378,46,Female,False,Two Year,Fiber Optic,3.0,Bank Transfer(automatic),FL,"$63,597"
K380097,AR,1748,37,Male,True,Month-to-month,DSL,7.0,Credit Card (automatic),AR,"$51,787"
R717119,KY,1598,53,Male,False,Month-to-month,DSL,10.0,Bank Transfer(automatic),KY,"$52,109"
X978383,LA,4335,62,Male,True,Month-to-month,Fiber Optic,6.0,Bank Transfer(automatic),LA,"$54,622"
L693606,PA,2299,57,Female,False,Month-to-month,DSL,9.0,Credit Card (automatic),PA,"$65,167"
Q486994,OH,12275,80,Female,True,One year,DSL,5.0,Credit Card (automatic),OH,"$57,880"
R463442,IN,1065,43,Male,True,Month-to-month,Fiber Optic,12.0,Bank Transfer(automatic),IN,"$57,930"
O40995,VA,24438,35,Male,True,Month-to-month,DSL,5.0,Bank Transfer(automatic),VA,"$68,211"
I933613,FL,47974,63,Female,False,Two Year,Fiber Optic,18.0,Mailed Check,FL,"$63,597"
O900811,IA,788,63,Female,True,Two Year,DSL,15.0,Bank Transfer(automatic),IA,"$58,905"
F269503,MN,16882,27,Female,False,Month-to-month,Fiber Optic,16.0,Mailed Check,MN,"$68,010"
V549313,OK,165,19,Female,False,Two Year,Fiber Optic,8.0,Electronic Check,OK,"$54,998"
Y254714,IA,109,40,Female,False,Two Year,Fiber Optic,24.0,Electronic Check,IA,"$58,905"
C125388,NJ,11116,42,Male,True,Month-to-month,DSL,26.0,Electronic Check,NJ,"$78,700"
D901316,MN,1083,40,Female,True,One year,DSL,9.0,Mailed Check,MN,"$68,010"
H906834,SD,15604,72,Female,False,Month-to-month,Fiber Optic,13.0,Mailed Check,SD,"$65,806"
W551882,IA,37,61,Male,True,Month-to-month,DSL,17.0,Credit Card (automatic),IA,"$58,905"
D402022,IL,57344,71,Male,False,Month-to-month,DSL,20.0,Electronic Check,IL,"$68,822"
M545162,TX,39035,68,Female,False,Month-to-month,Fiber Optic,12.0,Electronic Check,TX,"$61,985"
C459569,CA,27698,88,Female,False,Month-to-month,Fiber Optic,3.0,Credit Card (automatic),CA,"$77,339"
O226386,NM,13,64,Male,True,Month-to-month,DSL,14.0,Electronic Check,NM,"$51,500"
G954415,NY,3639,63,Female,True,Month-to-month,Fiber Optic,5.0,Electronic Check,NY,"$78,089"
E475593,MO,2950,53,Female,False,Month-to-month,Fiber Optic,23.0,Credit Card (automatic),MO,"$56,551"
D160442,MS,15041,41,Male,False,Two Year,DSL,6.0,Credit Card (automatic),MS,"$46,248"
J757606,PA,5188,63,Male,False,One year,Fiber Optic,13.0,Bank Transfer(automatic),PA,"$65,167"
E791178,ND,1317,56,Female,False,Two Year,Fiber Optic,12.0,Electronic Check,ND,"$66,184"
U451201,AL,4755,27,Male,False,One year,Fiber Optic,2.0,Bank Transfer(automatic),AL,"$50,637"
Z817431,AZ,3658,47,Male,False,One year,Fiber Optic,2.0,Mailed Check,AZ,"$56,667"
A295468,PA,30733,42,Female,False,One year,Fiber Optic,14.0,Bank Transfer(automatic),PA,"$65,167"
S986240,PA,2431,72,Female,True,Month-to-month,Fiber Optic,15.0,Bank Transfer(automatic),PA,"$65,167"
H472673,MI,529,58,Male,True,Month-to-month,DSL,4.0,Electronic Check,MI,"$56,813"
H146363,WA,346,33,Male,True,Month-to-month,Fiber Optic,10.0,Electronic Check,WA,"$75,698"
S596844,MO,110,87,Female,True,Two Year,DSL,1.0,Electronic Check,MO,"$56,551"
K458306,NC,34993,34,Female,False,Month-to-month,Fiber Optic,12.0,Bank Transfer(automatic),NC,"$57,416"
N279711,OH,36260,76,Male,False,One year,DSL,2.0,Electronic Check,OH,"$57,880"
P760514,MO,671,38,Nonbinary,False,Month-to-month,Fiber Optic,7.0,Electronic Check,MO,"$56,551"
H849889,GA,41839,47,Female,True,Two Year,DSL,7.0,Credit Card (automatic),GA,"$57,129"
R379090,NY,16546,84,Male,True,Month-to-month,Fiber Optic,11.0,Bank Transfer(automatic),NY,"$78,089"
L187290,CO,4,19,Male,True,Month-to-month,Fiber Optic,3.0,Electronic Check,CO,"$74,167"
X525693,PA,32603,87,Female,False,Two Year,Fiber Optic,9.0,Electronic Check,PA,"$65,167"
T515102,NC,607,75,Male,False,Two Year,DSL,10.0,Electronic Check,NC,"$57,416"
V571104,IL,1067,37,Male,True,Month-to-month,DSL,15.0,Mailed Check,IL,"$68,822"
V824084,TN,7655,52,Female,True,One year,Fiber Optic,24.0,Mailed Check,TN,"$58,279"
L189856,CA,5981,24,Male,True,Month-to-month,Fiber Optic,11.0,Credit Card (automatic),CA,"$77,339"
