Customer_id,State,Population,Age,Gender,Churn,Contract,InternetService,Tenure,PaymentMethod
M248356,DE,34,46,Male,False,Two Year,Fiber Optic,8.0,Electronic Check
E759213,NC,3199,70,Male,False,One year,Fiber Optic,6.0,Bank Transfer(automatic)
G106476,TX,1135,89,Male,False,One year,DSL,7.0,Bank Transfer(automatic)
D873414,OK,1750,75,Female,True,One year,Fiber Optic,15.0,Mailed Check
X906302,KY,1076,26,Female,True,Month-to-month,DSL,12.0,Electronic Check
Z245249,IL,1692,25,Female,False,Two Year,Fiber Optic,4.0,Electronic Check
T30358,TX,43123,84,Female,True,Month-to-month,Fiber Optic,3.0,Bank Transfer(automatic)
K974027,NJ,2396,69,Male,False,Month-to-month,Fiber Optic,3.0,Bank Transfer(automatic)
R464272,TX,12914,31,Male,False,One year,DSL,5.0,Credit Card (automatic)
Q541158,MN,15171,76,Male,True,Month-to-month,Fiber Optic,3.0,Electronic Check
O707075,NJ,5157,75,Male,True,Month-to-month,Fiber Optic,3.0,Bank Transfer(automatic)
L229402,MN,828,74,Nonbinary,True,Two Year,Fiber Optic,3.0,Mailed Check
Y259927,NY,98,49,Male,False,Two Year,DSL,16.0,Electronic Check
G820541,PA,15671,47,Male,True,Month-to-month,Fiber Optic,12.0,Bank Transfer(automatic)
F672614,NY,2229,20,Female,True,Month-to-month,Fiber Optic,7.0,Credit Card (automatic)
L686627,OR,4982,26,Female,True,One year,DSL,6.0,Credit Card (automatic)
T660448,CA,18575,72,Female,False,One year,Fiber Optic,15.0,Credit Card (automatic)
G864898,CT,15715,41,Male,False,Month-to-month,Fiber Optic,6.0,Mailed Check
V847401,LA,6252,26,Female,True,Month-to-month,DSL,3.0,Mailed Check
X852253,MS,3834,55,Male,False,One year,Fiber Optic,19.0,Electronic Check
M482085,CA,19556,46,Female,False,Two Year,Fiber Optic,14.0,Mailed Check
L535753,IL,47732,87,Female,True,One year,Fiber Optic,8.0,Bank Transfer(automatic)
K265986,TX,86926,39,Male,False,Two Year,Fiber Optic,6.0,Electronic Check
C695447,KY,69,81,Male,True,Two Year,Fiber Optic,20.0,Electronic Check
T484755,NY,15033,83,Male,False,One year,Fiber Optic,15.0,Credit Card (automatic)
X999392,IL,2673,50,Female,True,Month-to-month,Fiber Optic,3.0,Credit Card (automatic)
N995093,MN,1879,87,Female,True,Month-to-month,Fiber Optic,12.0,Bank Transfer(automatic)
D478815,WY,358,76,Female,False,Two Year,DSL,6.0,Mailed Check
I338069,OH,32653,25,Female,True,Two Year,Fiber Optic,11.0,Mailed Check
T278739,ID,10398,34,Male,True,Two Year,Fiber Optic,16.0,Mailed Check
R857699,ND,2081,46,Female,False,Two Year,Fiber Optic,13.0,Electronic Check
Q386914,AL,3410,73,Female,False,Month-to-month,Fiber Optic,8.0,Mailed Check
T132275,VA,377,57,Female,True,Month-to-month,Fiber Optic,8.0,Electronic Check
T392167,SC,1917,58,Male,False,Two Year,DSL,12.0,Electronic Check
J315269,NY,2482,70,Male,True,One year,Fiber Optic,10.0,Bank Transfer(automatic)
B124449,OK,902,53,Male,True,Month-to-month,DSL,16.0,Mailed Check
P954849,NY,43714,31,Male,True,Month-to-month,Fiber Optic,14.0,Credit Card (automatic)
K20948,IA,3066,38,Female,False,One year,Fiber Optic,19.0,Electronic Check
M893176,LA,13365,26,Female,True,Two Year,Fiber Optic,10.0,Electronic Check
P765785,TX,207,44,Male,False,One year,Fiber Optic,7.0,Electronic Check
X780945,CA,689,66,Female,True,Month-to-month,Fiber Optic,13.0,Electronic Check
H776847,AL,99,58,Male,False,Two Year,DSL,9.0,Mailed Check
A471876,ND,509,51,Female,True,One year,Fiber Optic,4.0,Bank Transfer(automatic)
B424659,MN,933,34,Female,False,One year,Fiber Optic,3.0,Mailed Check
F111037,MA,4991,87,Nonbinary,False,Two Year,Fiber Optic,6.0,Credit Card (automatic)
S690107,NC,1579,67,Female,True,Month-to-month,Fiber Optic,16.0,Mailed Check
Q991854,IN,19669,59,Nonbinary,True,Month-to-month,Fiber Optic,23.0,Credit Card (automatic)
U560834,KY,530,23,Male,False,One year,DSL,17.0,Mailed Check
P452772,NM,1469,42,Male,True,Month-to-month,Fiber Optic,13.0,Credit Card (automatic)
B949126,NY,324,24,Female,True,Two Year,DSL,5.0,Bank Transfer(automatic)
F697244,MI,10482,81,Female,False,Two Year,DSL,4.0,Mailed Check
F501848,TX,3151,78,Male,False,Month-to-month,DSL,8.0,Mailed Check
Q971369,PA,1919,51,Female,True,Month-to-month,Fiber Optic,2.0,Credit Card (automatic)
W186069,NY,241,70,Female,False,One year,Fiber Optic,6.0,Bank Transfer(automatic)
Y292243,OH,673,87,Female,False,Two Year,DSL,7.0,Mailed Check
F333860,GA,2649,46,Female,False,One year,DSL,1.0,Bank Transfer(automatic)
Z534243,KS,1655,56,Female,True,Month-to-month,Fiber Optic,12.0,Electronic Check
O249806,KY,1598,44,Male,True,Two Year,DSL,3.0,Electronic Check
V143753,TX,6658,33,Female,False,Month-to-month,Fiber Optic,10.0,Electronic Check
A715491,WI,823,19,Female,True,Month-to-month,Fiber Optic,4.0,Bank Transfer(automatic)
D986940,WV,13287,31,Male,True,Two Year,Fiber Optic,3.0,Credit Card (automatic)
Z147347,MN,2394,34,Female,False,One year,Fiber Optic,16.0,Bank Transfer(automatic)
W830673,OH,9295,43,Male,False,Two Year,DSL,6.0,Mailed Check
Q470894,WA,315,82,Male,False,Month-to-month,Fiber Optic,4.0,Bank Transfer(automatic)
I584048,ME,2998,36,Female,False,Month-to-month,Fiber Optic,3.0,Credit Card (automatic)
J779175,MN,178,48,Male,True,Month-to-month,Fiber Optic,1.0,Electronic Check
O82369,VA,1423,52,Male,True,Month-to-month,Fiber Optic,19.0,Electronic Check
U528986,NM,1935,35,Nonbinary,True,Month-to-month,DSL,12.0,Bank Transfer(automatic)
K33780,IL,90517,83,Female,False,Month-to-month,Fiber Optic,14.0,Electronic Check
M720169,KS,239,20,Male,False,Two Year,Fiber Optic,4.0,Electronic Check
Q279060,MN,1003,25,Female,True,One year,Fiber Optic,18.0,Electronic Check
V840276,MI,2817,88,Male,False,Month-to-month,Fiber Optic,3.0,Bank Transfer(automatic)
B248010,MD,884,54,Female,False,One year,Fiber Optic,6.0,Electronic Check
C805115,OH,11245,46,Male,True,Month-to-month,Fiber Optic,5.0,Electronic Check
D89225,NY,19215,75,Female,False,Month-to-month,DSL,12.0,Electronic Check
X904034,WI,2733,66,Male,False,Month-to-month,Fiber Optic,5.0,Bank Transfer(automatic)
B148329,VA,1204,51,Female,False,Two Year,Fiber Optic,8.0,Credit Card (automatic)
X914490,CA,62430,81,Female,False,One year,DSL,1.0,Bank Transfer(automatic)
U120690,WY,1028,75,Male,False,Month-to-month,Fiber Optic,20.0,Electronic Check
F116821,MA,28666,54,Female,True,Month-to-month,DSL,16.0,Electronic Check
X389713,NM,44451,73,Male,False,Month-to-month,Fiber Optic,16.0,Credit Card (automatic)
M379067,TX,266,53,Male,False,Month-to-month,DSL,12.0,Electronic Check
A81135,FL,33649,33,Female,False,Month-to-month,Fiber Optic,16.0,Electronic Check
V280043,OH,1994,41,Female,False,Two Year,DSL,21.0,Bank Transfer(automatic)
U169694,TX,1869,59,Female,False,One year,DSL,5.0,Bank Transfer(automatic)
N162822,NC,27590,23,Female,True,Month-to-month,DSL,3.0,Bank Transfer(automatic)
K618387,MI,21792,32,Female,True,One year,Fiber Optic,5.0,Electronic Check
D944092,IN,8770,51,Female,True,Month-to-month,Fiber Optic,10.0,Credit Card (automatic)
F908532,FL,3378,46,Female,False,Two Year,Fiber Optic,3.0,Bank Transfer(automatic)
K380097,AR,1748,37,Male,True,Month-to-month,DSL,7.0,Credit Card (automatic)
R717119,KY,1598,53,Male,False,Month-to-month,DSL,10.0,Bank Transfer(automatic)
X978383,LA,4335,62,Male,True,Month-to-month,Fiber Optic,6.0,Bank Transfer(automatic)
L693606,PA,2299,57,Female,False,Month-to-month,DSL,9.0,Credit Card (automatic)
Q486994,OH,12275,80,Female,True,One year,DSL,5.0,Credit Card (automatic)
R463442,IN,1065,43,Male,True,Month-to-month,Fiber Optic,12.0,Bank Transfer(automatic)
O40995,VA,24438,35,Male,True,Month-to-month,DSL,5.0,Bank Transfer(automatic)
I933613,FL,47974,63,Female,False,Two Year,Fiber Optic,18.0,Mailed Check
O900811,IA,788,63,Female,True,Two Year,DSL,15.0,Bank Transfer(automatic)
F269503,MN,16882,27,Female,False,Month-to-month,Fiber Optic,16.0,Mailed Check
V549313,OK,165,19,Female,False,Two Year,Fiber Optic,8.0,Electronic Check
Y254714,IA,109,40,Female,False,Two Year,Fiber Optic,24.0,Electronic Check
C125388,NJ,11116,42,Male,True,Month-to-month,DSL,26.0,Electronic Check
D901316,MN,1083,40,Female,True,One year,DSL,9.0,Mailed Check
H906834,SD,15604,72,Female,False,Month-to-month,Fiber Optic,13.0,Mailed Check
W551882,IA,37,61,Male,True,Month-to-month,DSL,17.0,Credit Card (automatic)
D402022,IL,57344,71,Male,False,Month-to-month,DSL,20.0,Electronic Check
M545162,TX,39035,68,Female,False,Month-to-month,Fiber Optic,12.0,Electronic Check
C459569,CA,27698,88,Female,False,Month-to-month,Fiber Optic,3.0,Credit Card (automatic)
O226386,NM,13,64,Male,True,Month-to-month,DSL,14.0,Electronic Check
G954415,NY,3639,63,Female,True,Month-to-month,Fiber Optic,5.0,Electronic Check
E475593,MO,2950,53,Female,False,Month-to-month,Fiber Optic,23.0,Credit Card (automatic)
D160442,MS,15041,41,Male,False,Two Year,DSL,6.0,Credit Card (automatic)
J757606,PA,5188,63,Male,False,One year,Fiber Optic,13.0,Bank Transfer(automatic)
E791178,ND,1317,56,Female,False,Two Year,Fiber Optic,12.0,Electronic Check
U451201,AL,4755,27,Male,False,One year,Fiber Optic,2.0,Bank Transfer(automatic)
Z817431,AZ,3658,47,Male,False,One year,Fiber Optic,2.0,Mailed Check
A295468,PA,30733,42,Female,False,One year,Fiber Optic,14.0,Bank Transfer(automatic)
S986240,PA,2431,72,Female,True,Month-to-month,Fiber Optic,15.0,Bank Transfer(automatic)
H472673,MI,529,58,Male,True,Month-to-month,DSL,4.0,Electronic Check
H146363,WA,346,33,Male,True,Month-to-month,Fiber Optic,10.0,Electronic Check
S596844,MO,110,87,Female,True,Two Year,DSL,1.0,Electronic Check
K458306,NC,34993,34,Female,False,Month-to-month,Fiber Optic,12.0,Bank Transfer(automatic)
N279711,OH,36260,76,Male,False,One year,DSL,2.0,Electronic Check
P760514,MO,671,38,Nonbinary,False,Month-to-month,Fiber Optic,7.0,Electronic Check
H849889,GA,41839,47,Female,True,Two Year,DSL,7.0,Credit Card (automatic)
R379090,NY,16546,84,Male,True,Month-to-month,Fiber Optic,11.0,Bank Transfer(automatic)
L187290,CO,4,19,Male,True,Month-to-month,Fiber Optic,3.0,Electronic Check
X525693,PA,32603,87,Female,False,Two Year,Fiber Optic,9.0,Electronic Check
T515102,NC,607,75,Male,False,Two Year,DSL,10.0,Electronic Check
V571104,IL,1067,37,Male,True,Month-to-month,DSL,15.0,Mailed Check
V824084,TN,7655,52,Female,True,One year,Fiber Optic,24.0,Mailed Check
L189856,CA,5981,24,Male,True,Month-to-month,Fiber Optic,11.0,Credit Card (automatic)
D07066,VA,655,83,Male,True,Month-to-month,Fiber Optic,11.0,Electronic Check
N584184,DC,16395,19,Female,True,Month-to-month,DSL,7.0,Credit Card (automatic)
K578402,KS,198,78,Male,True,One year,Fiber Optic,2.0,Mailed Check
Y413092,FL,3473,61,Female,False,One year,Fiber Optic,2.0,Bank Transfer(automatic)
F980573,IN,2992,38,Male,True,Month-to-month,Fiber Optic,9.0,Mailed Check
I581177,OR,2914,79,Male,True,Month-to-month,Fiber Optic,2.0,Electronic Check
U469398,NE,617,49,Female,False,Two Year,Fiber Optic,12.0,Electronic Check
I85282,WV,444,41,Female,False,One year,Fiber Optic,3.0,Mailed Check
Z317359,TX,48969,75,Female,False,One year,Fiber Optic,10.0,Credit Card (automatic)
I981930,FL,17307,60,Female,False,Two Year,Fiber Optic,10.0,Mailed Check
N227355,CA,25764,70,Male,False,Month-to-month,Fiber Optic,23.0,Mailed Check
E805998,MN,671,23,Male,True,Month-to-month,Fiber Optic,5.0,Mailed Check
J633340,TX,3064,84,Female,True,Month-to-month,DSL,7.0,Mailed Check
L762626,MA,25619,63,Male,True,One year,Fiber Optic,21.0,Mailed Check
S206250,WA,22547,88,Female,False,Month-to-month,DSL,2.0,Credit Card (automatic)
C917569,KS,545,44,Female,True,Month-to-month,Fiber Optic,4.0,Bank Transfer(automatic)
L282757,KY,398,49,Female,True,Month-to-month,DSL,12.0,Mailed Check
D762674,WV,217,32,Male,True,One year,Fiber Optic,12.0,Mailed Check
N914081,GA,32084,69,Nonbinary,False,One year,Fiber Optic,21.0,Mailed Check
K905632,HI,5148,60,Female,True,Month-to-month,DSL,4.0,Bank Transfer(automatic)
H247341,WV,2526,57,Female,False,Month-to-month,Fiber Optic,11.0,Credit Card (automatic)
N02836,VA,30097,62,Female,True,Two Year,Fiber Optic,1.0,Mailed Check
P742927,MN,703,26,Male,False,Month-to-month,DSL,13.0,Bank Transfer(automatic)
V109553,MD,7334,85,Female,True,Two Year,DSL,6.0,Electronic Check
J227266,MD,61045,82,Female,False,One year,Fiber Optic,19.0,Electronic Check
F881222,AL,117,40,Female,False,Two Year,DSL,10.0,Electronic Check
O167724,PA,29426,50,Male,True,Month-to-month,Fiber Optic,5.0,Bank Transfer(automatic)
Y554348,OH,26659,71,Male,True,Month-to-month,DSL,12.0,Electronic Check
N800767,CO,12478,48,Nonbinary,False,Month-to-month,Fiber Optic,8.0,Electronic Check
B363210,FL,11294,24,Female,False,Two Year,Fiber Optic,15.0,Electronic Check
P903407,MO,3264,79,Male,False,Two Year,Fiber Optic,6.0,Credit Card (automatic)
O825386,HI,4926,82,Male,False,Month-to-month,Fiber Optic,18.0,Electronic Check
Q76170,OK,473,68,Female,True,Month-to-month,Fiber Optic,8.0,Mailed Check
J04574,NY,20925,77,Nonbinary,False,One year,Fiber Optic,4.0,Mailed Check
R620556,CO,114,19,Female,False,One year,Fiber Optic,11.0,Electronic Check
S136763,PA,715,80,Male,True,Month-to-month,DSL,14.0,Electronic Check
J790219,NM,110,31,Female,True,Two Year,Fiber Optic,3.0,Electronic Check
O403373,NY,19869,62,Male,False,Month-to-month,Fiber Optic,17.0,Credit Card (automatic)
S256934,GA,13768,80,Male,True,Month-to-month,Fiber Optic,4.0,Electronic Check
F693121,UT,604,36,Male,False,Two Year,Fiber Optic,6.0,Bank Transfer(automatic)
O154545,NJ,20731,72,Male,False,Two Year,DSL,4.0,Bank Transfer(automatic)
A745374,IN,666,50,Male,False,One year,Fiber Optic,4.0,Mailed Check
W893206,MO,729,31,Male,False,Two Year,DSL,4.0,Electronic Check
H113074,CA,19659,22,Female,False,One year,Fiber Optic,10.0,Electronic Check
J779911,NC,22569,50,Male,True,Month-to-month,Fiber Optic,10.0,Credit Card (automatic)
Y832510,MI,2019,28,Male,False,Month-to-month,Fiber Optic,9.0,Electronic Check
S528947,NH,1566,63,Male,False,Month-to-month,Fiber Optic,9.0,Electronic Check
V592787,CA,38579,73,Female,False,Month-to-month,Fiber Optic,8.0,Credit Card (automatic)
H283133,CO,3232,72,Male,False,Month-to-month,DSL,12.0,Bank Transfer(automatic)
W884202,NJ,566,23,Male,True,Month-to-month,Fiber Optic,2.0,Electronic Check
N447597,VA,659,49,Male,True,One year,Fiber Optic,14.0,Mailed Check
C416907,VA,1253,82,Female,True,Month-to-month,Fiber Optic,7.0,Electronic Check
A51913,CA,23517,72,Female,False,One year,Fiber Optic,4.0,Credit Card (automatic)
C742414,VA,5886,45,Female,False,One year,Fiber Optic,3.0,Credit Card (automatic)
B773959,AL,24628,73,Female,False,Month-to-month,Fiber Optic,14.0,Mailed Check
H691053,NY,582,78,Female,True,Month-to-month,Fiber Optic,15.0,Credit Card (automatic)
V971650,AL,34669,71,Male,False,Month-to-month,DSL,6.0,Electronic Check
L226598,NY,1286,67,Female,True,Month-to-month,DSL,12.0,Bank Transfer(automatic)
K730146,MS,3032,43,Male,False,Two Year,Fiber Optic,6.0,Electronic Check
